Latitude,Mean Value
70.930975,1.387978142
70.921992,1.369926813
70.913009,1.36809816
70.904025,1.404327248
70.895042,1.382098765
70.886059,1.36329588
70.877076,1.365021328
70.868093,1.395696354
70.85911,1.512639624
70.850126,1.510300177
70.841143,1.515524312
70.83216,1.540798094
70.823177,1.576080521
70.814194,1.607233503
70.805211,1.571339564
70.796228,1.572372372
70.787244,1.56840796
70.778261,1.491183879
70.769278,1.484516129
70.760295,1.487868852
70.751312,1.502475248
70.742329,1.515815085
70.733345,1.46921797
70.724362,1.507675439
70.715379,1.469409854
70.706396,1.464690027
70.697413,1.457991803
70.68843,1.487743872
70.679447,1.473632331
70.670463,1.455026455
70.66148,1.485035629
70.652497,1.532805956
70.643514,1.58283341
70.634531,1.613067655
70.625548,1.589365505
70.616564,1.633802817
70.607581,1.659949622
70.598598,1.704448246
70.589615,1.655516942
70.580632,1.669267447
70.571649,1.670315789
70.562666,1.718844329
70.553682,1.698460222
70.544699,1.704672096
70.535716,1.654275093
70.526733,1.645960211
70.51775,1.666168224
70.508767,1.727704678
70.499783,1.787070855
70.4908,1.754440154
70.481817,1.755412991
70.472834,1.77852349
70.463851,1.783805345
70.454868,1.686999619
70.445885,1.747933884
70.436901,1.81207517
70.427918,1.787596271
70.418935,1.84006462
70.409952,1.841159657
70.400969,1.840302668
70.391986,1.782305006
70.383003,1.852281825
70.374019,1.832111154
70.365036,1.871394231
70.356053,1.921689217
70.34707,1.915627598
70.338087,1.879557558
70.329104,1.901554404
70.32012,1.857720291
70.311137,1.955801105
70.302154,2.038253638
70.293171,2.018969072
70.284188,2.01875
70.275205,1.948899371
70.266222,1.972847168
70.257238,2.03422502
70.248255,1.975409836
70.239272,1.977883096
70.230289,1.993180907
70.221306,1.981474023
70.212323,1.865897334
70.203339,1.829694323
70.194356,1.761715647
70.185373,1.860093531
70.17639,1.833396874
70.167407,1.778029445
70.158424,1.702336096
70.149441,1.767794632
70.140457,1.779833837
70.131474,1.839848197
70.122491,1.856925419
70.113508,1.958427816
70.104525,1.85807386
70.095542,1.887480799
70.086558,1.840060355
70.077575,1.825633383
70.068592,1.858305586
70.059609,1.86598689
70.050626,1.924219911
70.041643,1.970845481
70.03266,1.979210712
70.023676,1.929895517
70.014693,1.914420485
70.00571,1.939586115
69.996727,1.916500333
69.987744,1.903040541
69.978761,1.902888966
69.969777,1.864185111
69.960794,1.943647541
69.951811,2.000680735
69.942828,2.100382077
69.933845,1.9619679
69.924862,1.984706291
69.915879,2.03179707
69.906895,2.024442083
69.897912,2.102062216
69.888929,2.089974293
69.879946,2.160522023
69.870963,2.191704768
69.86198,2.221472195
69.852996,2.266536331
69.844013,2.310116609
69.83503,2.248923077
69.826047,2.252409639
69.817064,2.298875038
69.808081,2.164948454
69.799098,2.128160418
69.790114,2.10831607
69.781131,2.121168305
69.772148,2.091405576
69.763165,2.100227144
69.754182,2.066966798
69.745199,2.041785919
69.736216,2.108753316
69.727232,2.134178708
69.718249,2.104262673
69.709266,2.113477246
69.700283,2.070838253
69.6913,2.092434501
69.682317,2.050827423
69.673333,2.03697131
69.66435,2.037616611
69.655367,2.070624049
69.646384,2.07746273
69.637401,1.972933216
69.628418,2.050014885
69.619435,2.124449662
69.610451,2.155952724
69.601468,2.162057687
69.592485,2.166269368
69.583502,2.157924582
69.574519,2.164344612
69.565536,2.167899829
69.556552,2.197424893
69.547569,2.220504009
69.538586,2.179803647
69.529603,2.165481945
69.52062,2.120986239
69.511637,2.180595306
69.502654,2.182238935
69.49367,2.174411933
69.484687,2.156884257
69.475704,2.083244111
69.466721,2.040316206
69.457738,2.072173007
69.448755,2.078920308
69.439771,2.107700179
69.430788,2.028950543
69.421805,2.017703467
69.412822,1.982967802
69.403839,2.006984866
