Longitude,Latitude,Value,bio13,bio14,bio15,bio18,bio19,bio2,bio3,bio4,bio8,bio9
104.9234158,71.990987,1.374005305,39.03448276,9.960212202,46.08804842,101.7188329,35.33687003,8.085433209,15.07068851,1693.477039,6.957559647,-31.18355434
101.328253,71.982004,1.235449735,39.23280423,10.02380952,46.00495312,101.505291,35.42592593,8.117570476,15.14664874,1688.395805,6.899470889,-31.17028215
105.2423224,71.973021,1.200483092,39.13043478,10.07971014,45.86759376,101.8115942,36.20289855,8.153119906,15.14717023,1696.541897,6.956602227,-30.97576505
105.2477239,71.964037,1.222513089,39.33507853,10.18848168,45.62132927,102.2722513,36.11256545,8.139027002,15.14516477,1693.087222,7.040183227,-31.06343816
107.2164707,71.955054,1.156097561,39.29512195,10.21707317,45.99620386,102.5414634,36.0097561,8.135975546,15.10290328,1699.205803,7.026625991,-31.17439038
107.3467206,71.946071,1.169620253,39.48607595,10.18481013,46.03457563,102.9443038,36.49367089,8.165316418,15.15046788,1699.442069,7.023248936,-30.9971731
108.1348875,71.937088,1.105670103,39.65979381,10.33505155,45.99094531,102.0670103,36.95360825,8.124398615,16.05699905,1685.658715,6.892010318,-30.39037793
105.9303888,71.928105,1.121718377,39.66109785,10.1575179,45.98059737,101.6897375,36.60143198,8.093715182,16.16823585,1680.594726,6.902903735,-30.36551305
104.9545697,71.919122,1.14797136,39.8353222,10.04295943,46.5995186,103.2935561,36.27446301,8.149463058,15.15914421,1697.619243,6.852704865,-30.81213193
104.9019114,71.910138,1.235849057,39.85849057,10.22877358,45.9483763,103.4976415,36.71933962,8.161438695,15.16105242,1697.553142,6.915841197,-30.81434742
108.0807826,71.901155,1.222222222,39.28240741,10.14351852,46.07733008,102.775463,36.5,8.149247764,15.07681936,1706.46311,6.959413589,-30.71033952
107.9847474,71.892172,1.303769401,39.29933481,10.10643016,45.99516092,102.3902439,36.70066519,8.211086477,15.12958354,1711.551194,7.034848505,-30.70709529
108.8822873,71.883189,1.303030303,39.0995671,10.09307359,46.15571626,102.0822511,36.84632035,8.257251056,15.16803613,1716.835809,6.993542585,-30.34007939
109.0704474,71.874206,1.29588015,39.14419476,9.925093633,46.74344951,102.494382,36.32022472,8.191916313,15.08943133,1713.674448,6.992946319,-30.44897009
109.3434541,71.865223,1.354237288,39.11186441,9.76440678,46.76793296,102.4915254,36.07627119,8.198785316,15.10344952,1713.292339,7.004096065,-30.48971756
109.3069538,71.85624,1.330241187,39.07977737,9.773654917,46.66271194,102.0148423,36.23747681,8.257081005,15.16898581,1716.631303,7.011440936,-30.35408166
109.2378267,71.847256,1.331439394,39.1969697,9.975378788,46.3761648,102.1988636,36.49810606,8.260527147,15.19776871,1713.691402,6.986963391,-30.38481685
108.1858816,71.838273,1.30703259,39.49056604,10.09090909,46.05522171,102.8507719,37.01200686,8.236335054,15.19039731,1709.139122,6.93193253,-30.51555175
107.7121411,71.82929,1.372943327,39.34369287,10.0274223,46.49501756,102.6928702,36.63619744,8.211715443,15.15514358,1709.272571,6.882663021,-30.55920177
107.3396284,71.820307,1.30866426,39.22382671,9.990974729,46.627529,102.4277978,36.33754513,8.178008481,15.09223028,1710.404458,6.943170888,-30.7634777
107.4252915,71.811324,1.412342216,39.51051893,10.2398317,45.97701296,102.8892006,36.94249649,8.230095853,15.15730255,1710.731223,7.086278655,-30.9486441
107.4307504,71.802341,1.423347398,39.39662447,10.23347398,45.9769813,102.6399437,36.94796062,8.253129354,15.17471852,1713.784048,7.067838717,-30.88502107
107.1887352,71.793358,1.441221374,39.34045802,10.25801527,45.64978364,102.1694656,37.01221374,8.294847324,15.21409124,1717.515742,7.102519084,-30.64180655
106.7234127,71.784374,1.318322981,39.09782609,9.99068323,46.10499117,101.8913043,36.1552795,8.241123188,15.13887519,1715.961273,7.129994815,-30.9969979
